,Key,Quantità_x,Quantità_y,Differenza
3,ARANCIA E CANNELLA Lanterna - Sapone arancia e cannella & spugna cotone e canapa__BIOSTORIE__ITALIA,185.0,9712.500046249976,0.01904761895691615
5,ARANCIA E CANNELLA Lanterna - Sapone arancia e cannella & spugna cotone e canapa__DISTRIBUTORI__ITALIA,288.0,6480.001523504673,0.04444443399516931
183,Acqua attiva lenitiva Melissa (50 ml)__E-RETAILERS__ITALIA,168.0,1178.6590694416216,0.14253485537559932
232,"Acqua micellare rosa, fiordaliso e prebiotici (200 ml)__DISTRIBUTORI__ITALIA",252.0,3311.218436385621,0.07610491571044525
552,Bagnodoccia mediterraneo (200 ml)__E-RETAILERS__ITALIA,754.0,3020.112655120797,0.24965956111655108
695,Balsamo leave in anti-crespo - COCCO BIO E MORINGA (150 ml)__BIOSTORIE__ITALIA,200.0,5798.80001949999,0.03448989434494161
700,Balsamo leave in anti-crespo - COCCO BIO E MORINGA (150 ml)__E-RETAILERS__ITALIA,221.0,5473.00005904997,0.04038004707026483
703,Balsamo leave in anti-crespo - COCCO BIO E MORINGA (150 ml)__NEGOZI AL DETTAGLIO__ITALIA,359.0,14872.200027499988,0.024138997548189094
704,Balsamo nutriente - GIRASOLE BIO E AVOCADO (150 ml)__BIOSTORIE__ITALIA,215.0,3921.999972641468,0.054818970295707946
709,Balsamo nutriente - GIRASOLE BIO E AVOCADO (150 ml)__E-RETAILERS__AUSTRIA,141.0,3987.0000009999994,0.03536493603326689
711,Balsamo nutriente - GIRASOLE BIO E AVOCADO (150 ml)__E-RETAILERS__ITALIA,202.0,1822.2545355503034,0.11085169281194733
715,Balsamo nutriente - GIRASOLE BIO E AVOCADO (150 ml)__NEGOZI AL DETTAGLIO__ITALIA,664.0,5012.184603234181,0.13247716366463136
783,Balsamo volumizzante - LIMONE BIO E IALURONICO (150 ml)__BIOSTORIE__ITALIA,171.0,4757.800023999988,0.03594098094443164
790,Balsamo volumizzante - LIMONE BIO E IALURONICO (150 ml)__NEGOZI AL DETTAGLIO__ITALIA,305.0,13539.000012499993,0.02252751308947531
1038,Bio pasta protettiva per il cambio (50 ml)__E-RETAILERS__ITALIA,629.0,2793.2823604760156,0.22518310676361747
1239,"Biodeo Soft - Iris, Bardana, Calendula (50 ml)__E-RETAILERS__AUSTRIA",240.0,1665.931209494206,0.14406357155219301
1241,"Biodeo Soft - Iris, Bardana, Calendula (50 ml)__E-RETAILERS__ITALIA",994.0,3703.8059076477953,0.26837259424084325
1622,Burro di karitè BIO (50 ml)__E-RETAILERS__ITALIA,595.0,2465.718720703771,0.24130895182974227
1722,Busta Holiday Vibes con manico piatto M (18X8X24) (pz)__BIOSTORIE__ITALIA,7000.0,367500.0017499991,0.019047618956916146
2197,Campione singolo Wonder mask hair volume (5 ml)__E-RETAILERS__AUSTRIA,2700.0,11250.031391610159,0.23999933031418527
2979,Campioni Stay pure Crema viso intensiva anti-imperfezioni (25 pz)__E-RETAILERS__ITALIA,109.0,409.0119837830355,0.2664958590988868
3109,"Cartello A4 ""capelli""__NEGOZI AL DETTAGLIO__ITALIA",124.0,5178.400008999996,0.0239456202271917
3165,Cheratina vegetale - Attivo capelli ristrutturante spray (100 ml)__DISTRIBUTORI__ROMANIA,120.0,3365.3972616577503,0.035657008867027364
3402,Contorno occhi Lift & restore (15 ml)__DISTRIBUTORI__REPUBBLICA CECA,220.0,916.666809688453,0.23999996255430178
3403,Contorno occhi Lift & restore (15 ml)__E-RETAILERS__AUSTRIA,220.0,1153.1163026727447,0.19078734685310939
3492,Crema corpo Glow - MANDORLE & FRUTTI ROSSI (splendi più che puoi!) (75 ml)__BIOSTORIE__ITALIA,1260.0,107305.061401269,0.011742223372746694
3498,Crema corpo Glow - MANDORLE & FRUTTI ROSSI (splendi più che puoi!) (75 ml)__NEGOZI AL DETTAGLIO__ITALIA,313.0,2100.000083699958,0.14904761310701004
3576,Crema di sapone extravergine (200 ml)__E-RETAILERS__AUSTRIA,126.0,1503.5948032307433,0.08379917230976483
