"Codice","Descrizione","QtaGiac"
"AA001A000","Cartina tornasole","31.00"
"AA001M025","Cilindro graduato (25 ml)","15.00"
"AA001M100","Cilindro graduato (100 ml)","4.00"
"AA002A000","Spatola doppio uso","135.00"
"AA005M250","Becher 250 ml","104.00"
"AA007A000","Portasapone in ceramica fair trade - Lotus","102.00"
"AA009P000","Pompetta spray","361.00"
"AA010A00","Salvietta struccante in bambù","2063.00"
"AA014A000","Pennello per trattamenti viso - WonderBrush","727.00"
"AA018A000","Porta cosmetici solidi da viaggio","917.00"
"AA020A000","Spilla La Saponaria","296.00"
"AA021A000","Applicatore deodorante verde salvia - Kiima","471.00"
"AA022A000","Applicatore deodorante rosa antico - Kiima","1664.00"
"AA023A000","Applicatore deodorante grigio - Kiima","308.00"
"AA024A000","Applicatore deodorante bianco - Kiima","1256.00"
"AA025A000","Spugna doppio uso cotone e canapa","0.00"
"AA028A000","Patch occhi in silicone Eyestar","1249.00"
"AA029A000","Fascia capelli La Saponaria","1740.00"
"AA030A000","Salvadanaio in latta Orso polare","1547.00"
"AA031A000","Salvadanaio in latta Tricheco","1431.00"
"AA032A000","Scatola in latta Pinguino 170x85x30","0.00"
"AA033A000","Salvadanaio in latta Volpe artica","2084.00"
"AA034A000","Limetta unghie 2 in 1 Orso polare, grana 180-240","1791.00"
"AA035A000","Limetta unghie 2 in 1 Festa, grana 180-240","117.00"
"AA036A000","Nuova Borraccia termica in acciaio inox (500 ml) ","0.00"
"AL001M006","Biocao balsamo labbra IALURONICO (5,7 ml)","11103.00"
"AL002M006","Biocao balsamo labbra ALBICOCCOLO (5,7 ml)","1502.00"
"AL003M006","Biocao balsamo labbra MELOGRANO (5,7 ml)","5700.00"
"AR001G030","Amido di riso italiano (30 g)","1601.00"
"BL001P001","Maticao LAMPONE - balsamo labbra temperabile (box segnalibro)","1925.00"
"BL003P001","Maticao PESCA - balsamo labbra temperabile (box segnalibro)","2367.00"
"BL004P001","Maticao VIOLETTA - balsamo labbra temperabile  (box segnalibro)","2903.00"
"BS006P001","Spazzolino fibra vegetale Bimbi (Albicocca)","563.00"
"BS007P001 ","Spazzolino fibra vegetale Bimbi (Verde) ","678.00"
"BS008P001","Spazzolino fibra vegetale setole medie","2244.00"
"BS009P001","Spazzolino fibra vegetale setole morbide","3311.00"
"BS010P001","Testine Intercambiabili setole medie","3147.00"
"BS011P001","Testine Intercambiabili setole morbide","940.00"
"DS001P003","Set 3 dischetti struccanti fair trade in cotone bio","3231.00"
"ES003G100","Argilla bianca (100 g)","778.00"
"ES004G100","Argilla verde (100 g)","0.00"
"I000112","Busta carta avana senza manico (12x28) (kg)","0.76"
"I001108","Carta velina graficata verde (57x20) (kg)","43.00"
"IA001CP30","Fitocell In - Integratore alimentare inestetismi della cellulite (30 cp)","4176.00"
"IA003CP30","Integratore alimentare SUN VITAMIN - protezione e pigmentazione (30 cps)","1048.00"
"IA005CP30","Integratore alimentare SKIN PURITY impurità e depurazione (30 cp)","297.00"
"IA006CP30","Integratore alimentare capelli e unghie HAIR VITAMIN -  forza e crescita (30 cp)","1993.00"
"KI014A000","Libro ""Il primo sapone non si scorda mai""","42.00"
"LB006P020","Salviette detergenti delicate (20 pz)","856.00"
"LS020M005","Burrocacao SPF20 (4,8 g)","0.00"
"MO001P001","Matita occhi nera eco - extreme black","7940.00"
"P000000","Vetrofania ""Rivenditore autorizzato""","0.00"
"P000008","Volantini LaSaponaria (50 pz circa)","253.00"
"P000043","Espositore da banco per biocao","0.00"
"P000045","Cassette in legno da esposizione 50x30x27","162.00"
"P000074","Display A4 guida colori ""Linea Hennetica"" monofacciale in cartone","45.00"
"P000078","Locandina A3 ""Linea viso""","82.00"
"P000102E","Espositore ""Export""","1.00"
"P000109","Espositore wonder mask anti-age","0.00"
"P000110","Espositore wonder mask 2 steps","57.00"
"P000111","Espositore maschera peel-off","123.00"
"P000204","Pieghevole da esposizione - Linea capelli prebiotica","83.00"
"P000430","Busta carta avana con manico piatto L 25+(11x31) (pz)","5499.00"
"P000431","Busta carta avana con manico piatto M (18x8x24) (pz)","23001.00"
"P000621","Busta Holiday Vibes con manico piatto M (18X8X24) (pz)","4630.00"
"P000621set25","Set 25 pz Busta Natale con manico piatto M (18x8x24)","196.00"
"P000720","Espositore amido di riso","69.00"
"P000802","Cartello A4 ""DIY Cosmetics""","131.00"
"P000803","Volantini ""DIY Cosmetics"" (25 pz circa)","67.00"
"P000804","Cartello vetrina A4 ""In&Out""","21.00"
"P000805","Volantini Fitocell (25 pz circa)","81.00"
"P000879","Locandina A3 ""BB cream""","97.00"
"P000894","Cartello Vetrina A4 - Linea Occhi WOW ","128.00"
"P000903","Espositore da banco Linea WOW","60.00"
"P000924","FIDELITY CARD","29.00"
"P000925","Buono Regalo Negozio","980.00"
"P000936","Biglietto auguri generico","4630.00"
"P000937","Biglietto personalizzabile","325.00"
"P000951","Cartello A4 ""Smagliature""","62.00"
"P000957","Guida Attivi Puri Singola","4746.00"
"P000960","Pieghevole da esposizione osolebio/zanzare","80.00"
"P000963","Pieghevole da esposizione ""Creme solide""","20.00"
"P000973","Espositore da tavolo/banco base legno con logo","709.00"
"P000974","Locandina A4 promo ""EcoPow(d)er"" ","110.00"
"P000975","Vetrofania riposizionabile Natale","1.00"
"P000976","Biglietto auguri di Natale","3010.00"
"P000980","Espositore da banco attivi puri (9 alloggiamenti)","563.00"
"P000991","Espositore Ecopowder","299.00"
"P000993","Pieghevole da esposizione ""Biodeo solidi"" / ""Creme solide""","0.00"
"P001001","Locandina A3 ""Linea pelli impure""/""Doppia detersione""","98.00"
"P001002","Locandina A3 ""Attivi puri capelli""","55.00"
"P001009","Volantino In&Out - Integratori di bellezza (singolo)","5386.00"
"P001010","Cornice da esposizione In&Out - integratori di bellezza","352.00"
"P001014","Locandina A4 ""Albicoccole"" verticale","198.00"
"P001015","Locandina A4 osolebio/zanzare","123.00"
"P001020","Locandina A3 ""Natale""","0.00"
"P001022","Zaino in cotone riciclato azzurro La Saponaria","290.00"
"P001023","Cartello A3 ""La Saponaria per Pesaro 2024""","35.00"
"P001024","Espositore Biodeo Refill","56.00"
"P001026","Vetrofania Pesaro 2024","100.00"
"P001027","Cartello A4 ""Viso Anti-age""","219.00"
"P001035","Cartello A4 ""Natale""","0.00"
"P001044","Busta carta avana con manico ritorto XL 36x12x41 ","10200.00"
"P001045","Scatola regalo grande 29,5x20x6,5","3940.00"
"P001046","Basetta in legno con logo per reglette","0.00"
"P001047","Cartello La Saponaria 40x60cm","279.00"
"P001048","Forex bifacciale per reglette - Linea viso antiage - generico","282.00"
"P001049","Forex bifacciale per reglette - Doppia detersione - generico","282.00"
"P001050","Forex bifacciale per reglette - Linea viso pelli impure - generico","282.00"
"P001051","Cartello A4 ""capelli""","151.00"
"P01806130","Econea - Biocao Lip Balm IALURONICO (5,7 ml)","0.00"
"PA001P001","Eco-profumatore a bastoncini - Ambra e muschio (100 ml)","0.00"
"PA002P001","Eco-profumatore a bastoncini - Vaniglia e fava tonka (100 ml)","491.00"
"PA003P001","Eco-profumatore a bastoncini - Mela verde e fico (100 ml)","0.00"
"VI017G013","Maschera viso peel-off (13 g)","4818.00"
"ZP001052","Set sistema espositivo La Saponaria","9787.00"
"AC001M030","Silicone vegetale + Amla - Attivo disciplinante capelli (30 ml)","3812.00"
"AC002M100","Cheratina vegetale - Attivo capelli ristrutturante spray (100 ml)","3852.00"
"AC003M100","Acidi della frutta AHA - Attivo capelli anticrespo spray (100 ml)","7399.00"
"AI001M030","Acido ialuronico - multiplo peso molecolare (30 ml)","36039.00"
"AL008M009","Dopopuntura - stop al prurito (9 ml)","0.00"
"AL009M100","Biospray protettivo - Difesa naturale (100 ml)","334.00"
"AL010M010","Miscela di oli essenziali - Difesa naturale (10 ml)","416.00"
"AP001M030","Collagene Vegetale Attivo Puro (30 ml)","3209.00"
"AP002M030","Fitoretinolo Attivo Puro (30 ml)","9757.00"
"AP003M030","Ecofermentato Attivatore Attivo Puro (30 ml)","3952.00"
"AP004M030","Vitamina C Attivo Puro (30 ml)","14451.00"
"AP005M030","Niacinamide + Zinco (30 ml)","3144.00"
"AP006M030","Peeling AHA attivo puro (30 ml)","5026.00"
"AP007M030","Peptidi + Sacha Inchi Attivo Puro (30 ml)","9278.00"
"AP008M030","Hyaluronic Acid - Multiple Molecular Weights (30 ml)* NOME PROVVISORIO","0.00"
"AP009M030","Plant Collagen (30 ml)* NOME PROVVISORIO","0.00"
"AP010M030","Phytoretinol (30 ml)* NOME PROVVISORIO","0.00"
"AP011M030","Fermented Complex (30 ml)* NOME PROVVISORIO","0.00"
"AP012M030","Vitamin C (30 ml)* NOME PROVVISORIO","0.00"
"AP013M030","AHA Peeling (30 ml)* NOME PROVVISORIO","0.00"
"AP014M030","Peptides Complex (30 ml)* NOME PROVVISORIO","0.00"
"AP015M030","Bakuchiol (30 ml)* NOME PROVVISORIO","0.00"
"AP016M030","Salicylic Acid (30 ml)* NOME PROVVISORIO","0.00"
"AP017M100","Acido ialuronico - multiplo peso molecolare (100 ml)* NOME PROVVISORIO","0.00"
"AP018M030","EXPORT - Niacinamide + Zinc (30 ml)","0.00"
"AP022M030","Peeling AHA (30 ml)* ","0.00"
"AP024M030","Bakuchiol (30 ml)* ","0.00"
"AP025M030","Acido salicilico (30 ml)*","0.00"
"AV001M150","Succo di Aloe - Gel di Aloe Vera Puro 99% (150 ml)","2920.00"
"BB001M030","BB cream SAND (30 ml)","376.00"
"BB002M030","BB cream FAIR (30 ml)","113.00"
"BB003M030","BB cream BEIGE (30 ml)","38.00"
"BD001M040","Biodeo refill Alaska - fresco sport (40 ml)","0.00"
"BD002M040","Biodeo refill Grace - delicato (40 ml)","3127.00"
"BD003M040","Biodeo refill Sunrise - tropicale (40 ml)","477.00"
"BD004M040","Applicatore biodeo roll on refill - verde salvia + scatolina","2560.00"
"BG001G8+5","Wondermask - 2 steps beauty anti-age (8+5 ml)","8739.00"
"BS001M075","Dentifricio Lenitivo Bimbi Fragola (75 ml)","1929.00"
"BS002M075","Dentifricio Protettivo Limone & Zenzero (75 ml)","3082.00"
"BS003M075","Dentifricio WonderWhite Menta & Carbone (75 ml)","4966.00"
"BS004M250","Collutorio Protettivo Arancia & Xilitolo (250 ml)","1300.00"
"BS005M250","Collutorio Extra Fresco Menta & Solidago (250 ml)","981.00"
"BS012M050","WonderWhite - Trattamento Sbiancante (50 g)","1978.00"
"CO021M100","Fitocell olio da massaggio (100 ml)","512.00"
"CO022M050","Olio di argania spinosa bio (50 ml)","1267.00"
"CO024M100","Olio di mandorle dolci bio (100 ml)","1487.00"
"CO025M100","Olio di semi di lino bio (100 ml)","981.00"
"CO027M150","Olio di cocco bio ai fiori di Tiarè (150ml)","2341.00"
"CR001M060","Crema mani - EXTRAVERGINE (60 ml)","1344.00"
"CR002M060","Crema mani - ROSA E KARITE' (60 ml)","5043.00"
"CR003M060","Crema mani - MENTA E LIMONE (60 ml)","1967.00"
"CR004M050","Crema viso idratante - ALOE VERA E ARGAN (50 ml)","3568.00"
"CR005M050","Crema viso nutriente Argan e Karitè (50 ml)","3443.00"
"CR007G250","Scrub - LEMONGRASS E MENTA (250 g)","1663.00"
"CR009M150","Leggera - Crema gel Piedi&Gambe (150 ml)","884.00"
"CR010M200","Fluido corpo - argania spinosa ed extravergine d'oliva (150 ml)","1131.00"
"CR018M050","Unguento all'arnica (50 ml)","1024.00"
"CR018M250","DIY Cream (250 ml)","2245.00"
"CR019M050","Unguento all'iperico (50 ml)","663.00"
"CR020M050","Unguento alla calendula (50 ml)","442.00"
"CR021M050","Unguento balsamico al Timo (50 ml)","479.00"
"CR022M050","Burro di karitè BIO (50 ml)","3848.00"
"CS001M080","Crema solida mani e corpo COCCOLA - Karitè & Cacao (80 ml)","1042.00"
"CS002M080","Crema solida gambe e corpo UP! - Pepe Rosa & Zenzero (80 ml)","669.00"
"CS003M080","Crema solida piedi e corpo EVEREST - Arnica & Ginepro (80 ml)","313.00"
"CS004M080","Crema solida mani e corpo KEEP CALM - Buriti & Bergamotto (80 ml)","541.00"
"CS005M080","Crema solida glow PINK MOON -  Murumuru & Rosa (80 ml)","606.00"
"DE001M200","Crema di sapone extravergine (200 ml)","1269.00"
"DE002L001","Maxi Detergente intimo - bardana e calendula (1000 ml)","213.00"
"DE002M030","mini Detergente intimo - bardana e calendula (30 ml)","506.00"
